Location,Average Rent,
Kensington-Cedar Cottage,"1,745",
Mount Pleasant,"2,025",
Oakridge,"2,025",
Renfrew-Collingwood,"1,738",
Sunset,"1,700",
West Point Grey,"1,850",
Dunbar-Southlands,"2,400",
Kerrisdale,"1,785",
Killarney,"1,925",
Kitsilano,"1,925",
South Cambie,"1,600",
Victoria-Fraserview,"1,425",
Arbutus-Ridge,"1,688"
Downtown,"2,200",
Fairview,"1,913",
Grandview-Woodland,"1,795",
Hastings-Sunrise,"1,525",
Marpole,"1,650",
Riley Park,"1,920",
Shaughnessy,"1,786"
Strathcona,"1,973",
West End,"1,945",
